2023-10-03 18:37:09.564 [background-preinit] INFO  o.h.validator.internal.util.Version.<clinit> - HV000001: Hibernate Validator 8.0.0.Final
2023-10-03 18:37:14.403 [restartedMain] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/10.1.4]
2023-10-03 18:37:14.585 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
2023-10-03 18:37:14.590 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 4756 ms
2023-10-03 18:37:14.970 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-10-03 18:37:15.102 [restartedMain] INFO  org.hibernate.Version.logVersion - HHH000412: Hibernate ORM core version 6.1.6.Final
2023-10-03 18:37:15.496 [restartedMain] WARN  org.hibernate.orm.deprecation.lambda$new$1 - HHH90000021: Encountered deprecated setting [javax.persistence.sharedCache.mode], use [jakarta.persistence.sharedCache.mode] instead
2023-10-03 18:37:15.763 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Starting...
2023-10-03 18:37:16.512 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool.checkFailFast - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@19ae69ae
2023-10-03 18:37:16.518 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Start completed.
2023-10-03 18:37:16.652 [restartedMain] INFO  SQL dialect.logSelectedDialect - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2023-10-03 18:37:18.286 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-10-03 18:37:18.298 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-10-03 18:37:19.368 [restartedMain] DEBUG M.d.config.JwtAuthenticationFilter.init - Filter 'jwtAuthenticationFilter' configured for use
2023-10-03 18:37:20.236 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration.openEntityManagerInViewInterceptor - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-10-03 18:37:20.683 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain.<init> - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@773847ac, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@534081e, org.springframework.security.web.context.SecurityContextHolderFilter@40381e62, org.springframework.security.web.header.HeaderWriterFilter@523fd470, org.springframework.web.filter.CorsFilter@35b02321, org.springframework.security.web.authentication.logout.LogoutFilter@520284b2, MyImdb.demo.config.JwtAuthenticationFilter@11d07e13, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@336c8ee0, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3240dc3, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@50b9c99c, org.springframework.security.web.session.SessionManagementFilter@58421afa, org.springframework.security.web.access.ExceptionTranslationFilter@3fea7aaf, org.springframework.security.web.access.intercept.AuthorizationFilter@7d81efea]
2023-10-03 18:37:21.048 [restartedMain] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration.checkTemplateLocationExists - Cannot find template location: classpath:/templates/ (please add some templates, check your Thymeleaf configuration, or set spring.thymeleaf.check-template-location=false)
2023-10-03 18:37:21.717 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer.startServer - LiveReload server is running on port 35729
2023-10-03 18:37:21.755 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol.log - Starting ProtocolHandler ["http-nio-8080"]
2023-10-03 18:37:21.800 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port(s): 8080 (http) with context path ''
2023-10-03 18:37:21.835 [restartedMain] INFO  MyImdb.demo.DemoApplication.logStarted - Started DemoApplication in 13.56 seconds (process running for 14.706)
2023-10-03 18:37:27.537 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.destroy - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-10-03 18:37:27.545 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource.close - HikariPool-1 - Shutdown initiated...
2023-10-03 18:37:27.563 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource.close - HikariPool-1 - Shutdown completed.
